"Active payment methods:","Aktive Zahlungsarten:"
"Qenta Checkout Seamless Skrill Direct","Qenta Checkout Seamless Skrill Direct"
"Qenta Checkout Seamless Online bank transfer.","Qenta Checkout Seamless Sofort."
"Qenta Checkout Seamless TatraPay","Qenta Checkout Seamless TatraPay"
"Qenta Checkout Seamless Trustly","Qenta Checkout Seamless Trustly"
"Qenta Checkout Seamless TrustPay","Qenta Checkout Seamless TrustPay"
"Qenta Checkout Seamless Support Request","Qenta Checkout Seamless Supportanfrage"
"You have canceled the payment process!","Sie haben Ihre Bezahlung abgebrochen!",
"Your e-mail address","Ihre E-Mail Addresse"
"Your message","Ihre Nachricht"
"Your order will be processed as soon as we receive the payment confirmation from your bank.","Ihre Bestellung wird vearbeitet, sobald wir die Zahlungsbestätigung Ihrer Bank erhalten haben."
"Account Owner","Kontoinhaber"
"Bank Account Iban","IBAN"
"Bank Account","Kontonummer"
"Bank Bic","BIC"
"Bank Name","Finanzinstitut"
"Bank Number","Bankleitzahl"
"Card holder","Karteninhaber"
"Card Verification Code","CVC"
"Issue Date","Ausgabedatum"
"Issue Number","Ausgabenummer"
"Month","Monat"
"Payer Paybox Number","Paybox Nummer"
"Card number","Kartennummer"
"Switch/Solo/Maestro Only","Nur für Switch/Solo/Maestro"
"Voucher Id","Mein Gutscheincode"
"Year","Jahr"
"Redirecting","Weiterleitung"
"You will be redirected in a moment.","Sie werden nun weitergeleitet."
"If the redirect does not work please click","Falls Sie nicht weitergeleitet werden, klicken Sie bitte"
"here","hier"
